float,row_key,quantity,value_paper,digits
supplementary_table_1,Partisanship | Unknown | Full adjustment set,ci_lower,-0.004,3
supplementary_table_1,Partisanship | Unknown | Full adjustment set,ci_upper,0.002,3
supplementary_table_1,Partisanship | Unknown | Full adjustment set,df,1442040,0
supplementary_table_1,Partisanship | Unknown | Full adjustment set,estimate,-0.001,3
supplementary_table_1,Partisanship | Unknown | Full adjustment set,p_value,0.434,3
supplementary_table_1,Partisanship | Unknown | Full adjustment set,se,0.001,3
supplementary_table_1,Partisanship | Unknown | Full adjustment set,t,-0.783,3
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,ci_lower,-0.004,3
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,ci_upper,0.001,3
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,df,1442066,0
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,p_value,0.367,3
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,se,0.001,3
supplementary_table_1,Partisanship | Unknown | PAP adjustment set,t,-0.901,3
supplementary_table_1,Partisanship | Unknown | Unadjusted,ci_lower,-0.004,3
supplementary_table_1,Partisanship | Unknown | Unadjusted,ci_upper,0.003,3
supplementary_table_1,Partisanship | Unknown | Unadjusted,df,1442069,0
supplementary_table_1,Partisanship | Unknown | Unadjusted,estimate,0.000,3
supplementary_table_1,Partisanship | Unknown | Unadjusted,p_value,0.783,3
supplementary_table_1,Partisanship | Unknown | Unadjusted,se,0.002,3
supplementary_table_1,Partisanship | Unknown | Unadjusted,t,-0.276,3
supplementary_table_1,Race | Black | Full adjustment set,ci_lower,-0.006,3
supplementary_table_1,Race | Black | Full adjustment set,ci_upper,0.004,3
supplementary_table_1,Race | Black | Full adjustment set,df,233524,0
supplementary_table_1,Race | Black | Full adjustment set,estimate,-0.001,3
supplementary_table_1,Race | Black | Full adjustment set,p_value,0.732,3
supplementary_table_1,Race | Black | Full adjustment set,se,0.002,3
supplementary_table_1,Race | Black | Full adjustment set,t,-0.342,3
supplementary_table_1,Race | Black | PAP adjustment set,ci_lower,-0.006,3
supplementary_table_1,Race | Black | PAP adjustment set,ci_upper,0.004,3
supplementary_table_1,Race | Black | PAP adjustment set,df,233541,0
supplementary_table_1,Race | Black | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,Race | Black | PAP adjustment set,p_value,0.608,3
supplementary_table_1,Race | Black | PAP adjustment set,se,0.002,3
supplementary_table_1,Race | Black | PAP adjustment set,t,-0.513,3
supplementary_table_1,Race | Black | Unadjusted,ci_lower,-0.006,3
supplementary_table_1,Race | Black | Unadjusted,ci_upper,0.005,3
supplementary_table_1,Race | Black | Unadjusted,df,233544,0
supplementary_table_1,Race | Black | Unadjusted,estimate,-0.001,3
supplementary_table_1,Race | Black | Unadjusted,p_value,0.827,3
supplementary_table_1,Race | Black | Unadjusted,se,0.003,3
supplementary_table_1,Race | Black | Unadjusted,t,-0.218,3
supplementary_table_1,Race | Latinx | Full adjustment set,ci_lower,-0.008,3
supplementary_table_1,Race | Latinx | Full adjustment set,ci_upper,0.004,3
supplementary_table_1,Race | Latinx | Full adjustment set,df,179014,0
supplementary_table_1,Race | Latinx | Full adjustment set,estimate,-0.002,3
supplementary_table_1,Race | Latinx | Full adjustment set,p_value,0.513,3
supplementary_table_1,Race | Latinx | Full adjustment set,se,0.003,3
