outcome,outcome_label,condition,tss_round,estimate,std.error,conf.low,conf.high,conf.high.clipped,df
voted_in_2020,Voted,treat,67,0.5630349066980029,0.0024928619948528536,0.5581488399523179,0.567920973443688,0.567920973443688,40226
voted_in_2020,Voted,treat,68,0.5657030306598769,0.002235189973169697,0.5613220326556376,0.5700840286641162,0.5700840286641162,49950
voted_in_2020,Voted,treat,69,0.5706159029039658,0.0024458959219586015,0.5658218955073061,0.5754099103006255,0.5754099103006255,41601
voted_in_2020,Voted,treat,70,0.5724720728272943,0.0029953260513721335,0.5666010851647915,0.5783430604897971,0.5783430604897971,27706
voted_in_person_2020,Voted in person,control,30,0.24819601513990608,0.00894951331598033,0.23065106787340914,0.265740962406403,0.265740962406403,5028
voted_in_person_2020,Voted in person,control,31,0.24416501576049487,0.007267482046990182,0.2299187381689746,0.2584112933520151,0.2584112933520151,7581
voted_in_person_2020,Voted in person,control,32,0.2350528978037327,0.006371461721930653,0.22256345207926162,0.24754234352820378,0.24754234352820378,9388
voted_in_person_2020,Voted in person,control,33,0.23785900886047784,0.007219308778496242,0.22370708364187927,0.2520109340790764,0.2520109340790764,7320
voted_in_person_2020,Voted in person,control,34,0.24587448364655745,0.006616764118442135,0.23290412845266453,0.25884483884045034,0.25884483884045034,9044
voted_in_person_2020,Voted in person,control,35,0.24355917351211664,0.007271432757217815,0.2293050553700531,0.25781329165418015,0.25781329165418015,7274
voted_in_person_2020,Voted in person,control,36,0.24922163207030462,0.006591692284298145,0.23630037417905336,0.2621428899615559,0.2621428899615559,8794
voted_in_person_2020,Voted in person,control,37,0.2402392435719526,0.007249420002215811,0.22602818669770455,0.25445030044620065,0.25445030044620065,7007
voted_in_person_2020,Voted in person,control,38,0.24467278208889054,0.0066439361206381865,0.23164906763537196,0.2576964965424091,0.2576964965424091,8572
voted_in_person_2020,Voted in person,control,39,0.25215640327087707,0.007732790101541034,0.23699774367505116,0.267315062866703,0.267315062866703,6873
voted_in_person_2020,Voted in person,control,40,0.25001311559683864,0.006979513359747221,0.2363315318720718,0.2636946993216055,0.2636946993216055,8326
voted_in_person_2020,Voted in person,control,41,0.24920447581063201,0.00808029503460499,0.23336444216878838,0.26504450945247565,0.26504450945247565,6507
voted_in_person_2020,Voted in person,control,42,0.2492690766420136,0.00707423550961337,0.23540175971299399,0.2631363935710332,0.2631363935710332,8108
voted_in_person_2020,Voted in person,control,43,0.25828923575076623,0.007895061604170446,0.24281243236128128,0.2737660391402512,0.2737660391402512,6770
voted_in_person_2020,Voted in person,control,44,0.2556229621261324,0.007159623454536369,0.24158823329734969,0.2696576909549151,0.2696576909549151,7995
voted_in_person_2020,Voted in person,control,45,0.24998326438859475,0.007943834776148191,0.23441071118793763,0.26555581758925184,0.26555581758925184,6448
voted_in_person_2020,Voted in person,control,46,0.24769984455910293,0.0071549896060518646,0.23367407857047967,0.2617256105477262,0.2617256105477262,7565
voted_in_person_2020,Voted in person,control,47,0.2677226687678593,0.008194704415258177,0.2516582357290419,0.28378710180667666,0.28378710180667666,6257
voted_in_person_2020,Voted in person,control,48,0.26048125143829143,0.007318224256210401,0.24613551199221143,0.27482699088437146,0.27482699088437146,7604
voted_in_person_2020,Voted in person,control,49,0.26136828822924973,0.008266990512885071,0.2451620966329326,0.2775744798255669,0.2775744798255669,6153
voted_in_person_2020,Voted in person,control,50,0.2520165228078452,0.007277705533233932,0.2377501995336772,0.2662828460820132,0.2662828460820132,7565
voted_in_person_2020,Voted in person,control,51,0.26285421539641085,0.008044883153197025,0.2470834936557954,0.2786249371370263,0.2786249371370263,6278
voted_in_person_2020,Voted in person,control,52,0.2614631510383036,0.007437472708616412,0.24688361481059037,0.2760426872660168,0.2760426872660168,7485
voted_in_person_2020,Voted in person,control,53,0.26807588873869026,0.008303250372343397,0.2517986638350937,0.2843531136422868,0.2843531136422868,6248
voted_in_person_2020,Voted in person,control,54,0.2724438102928886,0.007751869364096367,0.25724789664624276,0.28763972393953446,0.28763972393953446,7273
voted_in_person_2020,Voted in person,control,55,0.2859299799041536,0.008712506202207093,0.2688503764134927,0.3030095833948145,0.3030095833948145,6071
voted_in_person_2020,Voted in person,control,56,0.27655986428612406,0.0077515514946760004,0.2613646151449172,0.2917551134273309,0.2917551134273309,7394
voted_in_person_2020,Voted in person,control,57,0.25699606284992554,0.008236803581133977,0.24084895245487872,0.27314317324497234,0.27314317324497234,5973
voted_in_person_2020,Voted in person,control,58,0.2685399275527768,0.007719458942141314,0.25340750905979376,0.2836723460457598,0.2836723460457598,7163
voted_in_person_2020,Voted in person,control,59,0.2694239258265162,0.008391762815607693,0.25297305214586713,0.28587479950716527,0.28587479950716527,5996
voted_in_person_2020,Voted in person,control,60,0.2831691549739424,0.008019676258454327,0.2674482699845904,0.2988900399632944,0.2988900399632944,7295
voted_in_person_2020,Voted in person,control,61,0.26978520557791463,0.008443237182878875,0.2532335110071392,0.28633690014869007,0.28633690014869007,6157
voted_in_person_2020,Voted in person,control,62,0.27858571431224044,0.0077303889442932785,0.2634319440810766,0.29373948454340426,0.29373948454340426,7377
voted_in_person_2020,Voted in person,control,63,0.2823015038096081,0.008839015713736341,0.26497382829895894,0.2996291793202573,0.2996291793202573,5953
voted_in_person_2020,Voted in person,control,64,0.28000582499425114,0.00775708100588299,0.26479977423680034,0.29521187575170194,0.29521187575170194,7508
voted_in_person_2020,Voted in person,control,65,0.28496574867160673,0.008694162342775244,0.26792212347414474,0.30200937386906873,0.30200937386906873,6103
voted_in_person_2020,Voted in person,control,66,0.27996092635001857,0.007849477208706523,0.26457370636619754,0.2953481463338396,0.2953481463338396,7369
voted_in_person_2020,Voted in person,control,67,0.2850450480529553,0.008564956451877525,0.2682547635590209,0.30183533254688966,0.30183533254688966,6199
voted_in_person_2020,Voted in person,control,68,0.29713235900472484,0.008090566215764068,0.2812725947125388,0.3129921232969109,0.3129921232969109,7540
voted_in_person_2020,Voted in person,control,69,0.2946747558857655,0.008683973719330532,0.27765109733169957,0.3116984144398315,0.3116984144398315,6091
voted_in_person_2020,Voted in person,control,70,0.30581461972401,0.01107167259954277,0.284108040243776,0.32752119920424394,0.32752119920424394,4042
voted_in_person_2020,Voted in person,treat,30,0.24248787151086723,0.002569518463947608,0.23745148946061664,0.24752425356111782,0.24752425356111782,27911
voted_in_person_2020,Voted in person,treat,31,0.2429167646951402,0.002109787402148813,0.2387815365916881,0.2470519927985923,0.2470519927985923,41440
voted_in_person_2020,Voted in person,treat,32,0.24474251042354656,0.0019358234844874265,0.2409482734480426,0.24853674739905052,0.24853674739905052,49559
voted_in_person_2020,Voted in person,treat,33,0.24052005191607123,0.0021269456832886664,0.23635119031414714,0.24468891351799532,0.24468891351799532,40475
voted_in_person_2020,Voted in person,treat,34,0.24276577717850759,0.0019442721836874489,0.23895497907101498,0.2465765752860002,0.2465765752860002,48731
